file,page,y,font_size,bold,text,label
file01.pdf,0,106.07516479492188,11.670000076293945,1,Application form for grant of LTC advance,Title
file01.pdf,0,135.93052673339844,9.744400024414062,1,1.,Text
file01.pdf,0,132.9877166748047,9.744400024414062,0,Name of the Government Servant,Text
file01.pdf,0,154.04539489746094,9.744400024414062,1,2.,Text
file01.pdf,0,151.0441131591797,9.744400024414062,0,Designation,Text
file01.pdf,0,180.9204559326172,9.744400024414062,1,3.,Text
file01.pdf,0,169.1589813232422,9.744400024414062,0,Date of entering the Central Government,Text
file01.pdf,0,186.73789978027344,9.744400024414062,0,Service,Text
file01.pdf,0,207.79551696777344,9.744400024414062,1,4.,Text
file01.pdf,0,204.8527069091797,9.744400024414062,0,PAY + SI + NPA,Text
file01.pdf,0,225.91038513183594,9.744400024414062,1,5.,Text
file01.pdf,0,222.9091033935547,9.744400024414062,0,Whether permanent or temporary,Text
file01.pdf,0,241.09214782714844,9.744400024414062,1,6.,Text
file01.pdf,0,241.09214782714844,9.744400024414062,0,Home Town as recorded in the Service Book,Text
file01.pdf,0,265.0341796875,9.744400024414062,1,7.,Text
file01.pdf,0,253.27268981933594,9.744400024414062,0,Whether wife / husband is employed and if,Text
file01.pdf,0,270.85162353515625,9.744400024414062,0,so whether entitled to LTC,Text
file01.pdf,0,309.556396484375,9.744400024414062,1,8.,Text
file01.pdf,0,288.9761962890625,9.744400024414062,0,Whether the concession is to be availed for,Text
file01.pdf,0,306.55511474609375,9.744400024414062,0,visiting home town and if so block for which,Text
file01.pdf,0,324.1924743652344,9.744400024414062,0,LTC is to be availed.,Text
file01.pdf,0,362.8290100097656,9.744400024414062,1,9.,Text
file01.pdf,0,342.24884033203125,9.744400024414062,0,(a) If the concession is to visit anywhere in,Text
file01.pdf,0,359.8861999511719,9.744400024414062,0,"India, the place to be visited.",Text
file01.pdf,0,377.465087890625,9.744400024414062,0,(b) Block for which to be availed.,Text
file01.pdf,0,416.1698303222656,9.744400024414062,1,10.,Text
file01.pdf,0,395.58966064453125,9.744400024414062,0,Single,Text
file01.pdf,0,395.58966064453125,9.744400024414062,0,rail,Text
file01.pdf,0,395.58966064453125,9.744400024414062,0,fare/bus,Text
file01.pdf,0,395.58966064453125,9.744400024414062,0,fare,Text
file01.pdf,0,395.58966064453125,9.744400024414062,0,from,Text
file01.pdf,0,395.58966064453125,9.744400024414062,0,the,Text
file01.pdf,0,413.1685485839844,9.744400024414062,0,headquarters to home town/place of visit by,Text
file01.pdf,0,430.7474365234375,9.744400024414062,0,shortest route.,Text
file01.pdf,0,498.607421875,9.744400024414062,1,11.,Text
file01.pdf,0,448.93048095703125,9.744400024414062,0,Persons in respect of whom LTC is proposed to be availed.,Text
file01.pdf,0,464.0538024902344,9.744400024414062,1,S.No,Text
file01.pdf,0,464.0538024902344,9.744400024414062,1,Name,Text
file01.pdf,0,464.0538024902344,9.744400024414062,1,Age,Text
file01.pdf,0,464.0538024902344,9.744400024414062,1,Relationship,Text
file01.pdf,0,476.23431396484375,9.744400024414062,1,1.,Text
file01.pdf,0,488.4732666015625,9.744400024414062,1,2.,Text
file01.pdf,0,500.6537780761719,9.744400024414062,1,3.,Text
file01.pdf,0,512.951171875,9.744400024414062,1,4.,Text
file01.pdf,0,529.448486328125,9.744400024414062,1,5.,Text
file01.pdf,0,541.6874389648438,9.744400024414062,1,6.,Text
file01.pdf,0,561.1275024414062,9.744400024414062,1,12.  Amount of advance required.,Text
file01.pdf,0,561.1275024414062,9.744400024414062,0,Rs.,Text
file01.pdf,0,596.8309936523438,9.744400024414062,0,I declare that the particulars furnished above are true and correct to the best of my knowledge.  I,Text
file01.pdf,0,608.5339965820312,9.744400024414062,0,undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,Text
file01.pdf,0,632.0570068359375,9.744400024414062,0,In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of,Text
file01.pdf,0,643.8184814453125,9.744400024414062,0,"advance, I undertake to refund the entire advance in one lump sum.",Text
file01.pdf,0,678.9762573242188,9.744400024414062,1,Date,Text
file01.pdf,0,690.73779296875,9.744400024414062,1,Signature of Government Servant.,Text
file02.pdf,0,185.6600341796875,24.0,1,Overview,Text
file02.pdf,0,240.884033203125,24.0,1,Foundation Level Extensions,Text
file02.pdf,0,380.3900146484375,12.0,0,Version 1.0,Text
file02.pdf,0,462.6399841308594,18.0,0,International Software Testing Qualifications Board,Text
file02.pdf,0,650.593017578125,9.960000038146973,0,Copyright Notice,Text
file02.pdf,0,662.11669921875,9.960000038146973,0,"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",Text
file02.pdf,1,36.933013916015625,9.960000038146973,0,International,Text
file02.pdf,1,39.540000915527344,12.0,0,Overview,Text
file02.pdf,1,48.452972412109375,9.960000038146973,0,Software Testing,Text
file02.pdf,1,56.733001708984375,9.960000038146973,0,Foundation Level Extension –   Agile Tester,Text
file02.pdf,1,59.972991943359375,9.960000038146973,0,Qualifications,Text
file02.pdf,1,59.972991943359375,9.960000038146973,0,Board,Text
file02.pdf,1,118.67300415039062,9.960000038146973,0,Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,Text
file02.pdf,1,718.6836547851562,9.960000038146973,0,Version 2014,Text
file02.pdf,1,718.6836547851562,9.960000038146973,0,Page 2 of 12,Text
file02.pdf,1,718.6836547851562,9.960000038146973,0,"May 31, 2014",Text
file02.pdf,1,735.8699951171875,6.0,0,© International Software Testing Qualifications Board,Text
